what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269714534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424269716350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424269717333
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269718996
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424269719935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269722527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269755743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269756318
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269756397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269756422
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269756430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269756472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269758155
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269768988
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269771011
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269771573
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269771573
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424269772222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269775555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269777104
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1424269777109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424269777109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269777114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269780669
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1424269785272
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1424269785361
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1424269785434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269785481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269786606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269795147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269807146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269807452
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269807489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269807513
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269807522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269807564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269810953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424269812781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424269813664
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269859707
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269861474
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424269865933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269870210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269885510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269885838
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269885876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269885901
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269885909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269885935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269889361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424269891188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1424269891817
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424269893322
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424269896798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269903315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269918259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424269918561
